locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
133190,3,4,fair,5.02,5.1,4.79,5.37,3.51,3.57,3.66,3.76,13.5,13.5,12.3,12.3,7.6,7.6,7.6,7.6,277.0,276.0,275.0,275.0,254.0,249.0,250.0,250.0,3.2,3.4,3.7,3.7,2.7,2.2,2.1,1.9
133191,2,3,poor to fair,4.86,4.91,4.76,5.13,3.41,3.44,3.66,3.59,13.5,13.5,12.3,12.3,7.6,7.6,7.6,6.9,266.0,267.0,267.0,268.0,244.0,241.0,241.0,244.0,2.9,3.1,3.7,3.6,2.5,2.3,2,1.8
133192,1,2,poor,2.34,2.36,2.29,2.36,1.34,1.37,1.29,1.36,6.9,6.9,6.9,12.3,13.5,13.5,13.5,6.9,243,242,243,257,253,255,255,239,1.7,1.7,1.6,1.7,1.5,1.6,1.6,1.3
133984,,,,4.23,5.36,6.6,7.47,3.23,5.05,6.11,6.61,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
134311,1,2,,2.27,2.36,2.37,2.33,1.27,1.36,1.37,1.33,7.6,7.6,7.6,7.6,13.5,13.5,13.5,13.5,254.0,253.0,252.0,253.0,252.0,253.0,254.0,254.0,1.7,1.7,1.7,1.7,1.3,1.5,1.6,1.6
134569,,,,8.26,9.74,11.48,11.32,7.44,8.79,10.33,10.61,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324,336,342,345,76,77,77,24,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
135846,1,2,POOR,0.99,1.11,1.19,1.17,0,0.11,0.19,0.17,9.3,13.5,13.5,13.5,13.5,9.3,11.2,11.2,284.0,196.0,195.0,194.0,192.0,284.0,285.0,285.0,0.5,0.6,0.7,0.7,0.5,0.4,0.5,0.5
135847,1,2,POOR,0.76,0.93,1.03,1.01,0,0,0.03,0.01,9.3,13.5,13.5,13.5,13.5,9.3,11.2,11.2,284.0,196.0,195.0,194.0,192.0,284.0,285.0,285.0,0.5,0.6,0.7,0.7,0.5,0.4,0.5,0.5
136616,1,2 ,poor,1.17,1.32,1.32,1.18,0.17,0.37,0.32,0.18,6.9,6.9,6.3,6.3,0.0,0.0,0.0,2.4,275.0,275.0,275.0,277.0,0.0,0.0,0.0,350.0,1.2,1.5,1.4,1.2,0,0,0,0.4
137586,,,FLAT,0.36,0.5,0.57,0.6,0,0,0,0,3.2,3.9,3.9,3.9,8.4,3.6,11.2,11.2,260,245,242,236,130,241,120,121,2.4,1.7,2.8,2.9,0.4,1.7,0.3,0.3
